id,full_name,email,team,location,preferred_neighbourhood,desk_preferences,preferred_users
bc8c2dd5-9501-4961-bd84-639fc4422151,"Brandi Holloway",brandi.holloway@thebank.com,Security,Leeds,"Window Bank",[],[]
69948abc-8e02-4ab1-b0c8-c92b0513c7bc,"Shana Baird",shana.baird@thebank.com,"Platform Engineering",Edinburgh,"Quiet Zone",[],[]
1c0b3f97-92b4-4269-b8ec-2aba48797603,"Clarissa Terry",clarissa.terry@thebank.com,Mac,Leeds,"Quiet Zone",[],[]
b381819e-d00b-4798-a4b5-ab4fef210bf4,"Farley Nichols",farley.nichols@thebank.com,Mac,London,"Collaboration Zone",[],[]
53695775-df3c-424e-91f2-8222f2ad69c1,"Burnett Donovan",burnett.donovan@thebank.com,"Directory Services",Leeds,"Quiet Zone",[],[]
3486f2c2-fc3a-47d4-8520-f6b349071405,"Stella Briggs",stella.briggs@thebank.com,"Platform Engineering",London,"Collaboration Zone",[],[]
8c8946bf-cdd5-4026-bbe1-e8fcfac05665,"Dillon Hodges",dillon.hodges@thebank.com,Security,London,"Core Desk Area",[],[]
78784aec-1cd2-4eec-8c51-d6a543bceb2a,"Welch Bowers",welch.bowers@thebank.com,Security,London,"Core Desk Area",[],[]
ce2bbc48-63e8-4090-990a-039f0ec34a34,"Brandy Sargent",brandy.sargent@thebank.com,Mac,London,"Quiet Zone",[],[]
391511bb-b582-449d-96c2-3231a8160b39,"Rebekah Robinson",rebekah.robinson@thebank.com,Security,London,"Core Desk Area",[],[]
7b490075-4e45-4c0e-ab34-1852752041b9,"Kristi Hart",kristi.hart@thebank.com,Data,London,"Core Desk Area",[],[]
3124576a-2a78-4a72-a49a-4fd826b772f3,"Abigail Livingston",abigail.livingston@thebank.com,Data,Edinburgh,"Collaboration Zone","[""quiet-area"", ""standing-desk""]","[""shana.baird@thebank.com""]"
a92c6a10-de70-4536-b032-34a344053691,"Josefina Koch",josefina.koch@thebank.com,"Directory Services",Leeds,"Core Desk Area",[],[]
b865fb44-0227-4b72-bb74-b254e1477f83,"Margarita Mosley",margarita.mosley@thebank.com,Mac,Leeds,"Collaboration Zone",[],[]
114704a0-7439-4eca-a1b4-dd58c84ef2d2,"Tracy Richards",tracy.richards@thebank.com,"Directory Services",Edinburgh,"Core Desk Area",[],[]
172cbed6-5315-4a79-802f-058cfeb1588d,"Joan Nieves",joan.nieves@thebank.com,Security,London,"Window Bank",[],[]
